"achievements.xboxlive.com","achievements_service","AchievementsService","XblAchievements"
"GET https://achievements.xboxlive.com/users/xuid({xuid})/achievements/?continuationToken={token}","achievements_result::get_next","AchievementsService::GetNext","XblAchievementsResultGetNextAsync"
"GET https://achievements.xboxlive.com/users/xuid({xuid})/achievements","achievement_service::get_achievements_for_title_id","AchievementsService::GetAchievementsForTitleId","XblAchievementsGetAchievementsForTitleIdAsync"
"GET https://achievements.xboxlive.com/users/xuid({xuid})/achievements/{scid}/{achievementId}","achievement_service::get_achievement","AchievementsService::GetAchievement","XblAchievementsGetAchievementAsync"
"POST https://achievements.xboxlive.com/users/xuid({xuid})/achievements/{scid}/update","achievement_service::update_achievement","AchievementsService::UpdateAchievementAsync","XblAchievementsUpdateAchievementsAsync"
"clubhub.xboxlive.com","clubs_service","ClubsService","N/A"
"clubaccounts.xboxlive.com","clubs_service","ClubsService","N/A"
"clubsearch.xboxlive.com/suggest","clubs_service","ClubsService","N/A"
"GET https://clubhub.xboxlive.com/clubs/Ids({clubId})/decoration/settings","clubs_service::get_club","ClubsService::GetClubAsync","N/A"
"POST https://clubhub.xboxlive.com/clubs/Batch","clubs_service::get_clubs","ClubsService::GetClubsAsync","N/A"
"GET https://clubaccounts.xboxlive.com/users/{userId}/clubsowned","clubs_service::get_clubs_owned","ClubsService::GetClubsOwnedAsync","N/A"
"POST https://clubaccounts.xboxlive.com/clubs/create","clubs_service::create_club","ClubsService::CreateClubAsync","N/A"
"DELETE https://clubaccounts.xboxlive.com/clubs/{clubId}","clubs_service::delete_club","ClubsService::DeleteClubAsync","N/A"
"GET https://clubhub.xboxlive.com/clubs/Xuid{xuid}","clubs_service::get_club_associations","ClubsService::GetClubAssociationsAsync","N/A"
"POST https://clubhub.xboxlive.com/clubs/recommendations","clubs_service::get_club_recommendations","ClubsService::GetClubRecommendationsAsync","N/A"
"GET https://clubhub.xboxlive.com/clubs/search","clubs_service::search_clubs","ClubsService::SearchClubsAsync","N/A"
"GET https://clubsearch.xboxlive.com/suggest","clubs_service::suggest_clubs","ClubsService::SuggestClubsAsync","N/A"
"contextualsearch.xboxlive.com","contextual_search_service","ContextualSearchService","N/A"
"GET https://contextualsearch.xboxlive.com/titles/{titleid}/configuration","contextual_search_service::get_configuration","ContextualSearchService::GetConfiguration","N/A"
"GET https://contextualsearch.xboxlive.com/titles/{titleId}/broadcasts","contextual_search_service::get_broadcasts","ContextualSearchService::GetBroadcasts","N/A"
"GET https://contextualsearch.xboxlive.com//titles/{titleId}/gameclips","contextual_search_service::get_game_clips","ContextualSearchService::GetGameClipsAsync","N/A"
"eplists.xboxlive.com","entertainment_profile_list_xbox_one_pins","EntertainmentProfileListXboxOnePins","N/A"
"POST https://eplists.xboxlive.com/users/xuid({xuid})/lists/PINS/XBLPins","entertainment_profile_list_xbox_one_pins::add_item","EntertainmentProfileListXboxOnePins::AddItem","N/A"
"POST https://eplists.xboxlive.com/users/xuid({xuid})/lists/PINS/XBLPins/RemoveItems","entertainment_profile_list_xbox_one_pins::remove_item","EntertainmentProfileListXboxOnePins::RemoveItem","N/A"
"POST https://eplists.xboxlive.com/users/xuid({xuid})/lists/PINS/XBLPins/ContainsItems","entertainment_profile_list_xbox_one_pins::contains_item","EntertainmentProfileListXboxOnePins::ContainsItem","N/A"
"gameserverms.xboxlive.com","game_server_platform_service","GameServerPlatformService","N/A"
"gameserverds.xboxlive.com","game_server_platform_service","GameServerPlatformService","N/A"
"POST https://gameserverms.xboxlive.com/titles/{gameServerTitleId}/clusters","game_server_platform_service::allocate_cluster","GameServerPlatformService::AllocateCluster","N/A"
"POST https://gameserverms.xboxlive.com/titles/{gameServerTitleId}/inlineclusters","game_server_platform_service::allocate_cluster_inline","GameServerPlatformService::AllocateClusterInline","N/A"
"GET https://gameserverms.xboxlive.com/titles/{titleId}/tickets/{ticketId}/status","game_server_platform_service::get_ticket_status","GameServerPlatformService::GetTicketStatus","N/A"
"POST https://gameserverds.xboxlive.com/titles/{titleId}/variants","game_server_platform_service::get_game_server_metadata","GameServerPlatformService::GetGameServerMetadata","N/A"
"GET https://gameserverds.xboxlive.com/qosservers/","game_server_platform_service::get_quality_of_service_servers/","GameServerPlatformService::GetQualityOfServiceServers","N/A"
"POST https://gameserverds.xboxlive.com/titles/{gameServerTitleId}/allocationStatus","game_server_platform_service::allocate_session_host","GameServerPlatformService::AllocateSessionHost","N/A"
"POST https://gameserverds.xboxlive.com/titles/{gameServerTitleId}/sessionhosts","game_server_platform_service::get_session_host_allocation_status","GameServerPlatformService::GetSessionHostAllocationStatus","N/A"
"leaderboards.xboxlive.com","leaderboard_service","LeaderboardService","XblLeaderboard"
"GET https://leaderboards.xboxlive.com/scids/{scid}/leaderboards/{leaderboardname}","leaderboard_service::get_leaderboard}","LeaderboardService::GetLeaderboard","XblLeaderboardGetLeaderboardAsync"
"GET https://leaderboards.xboxlive.com/scids/{scid}/leaderboards/{leaderboardname}?skipToUser={xuid}[&maxItems={maxItems}]","leaderboard_service::get_leaderboard_skip_to_xuid","LeaderboardService::GetLeaderboardSkipToXuid","XblLeaderboardGetLeaderboardAsync"
"GET https://leaderboards.xboxlive.com/users/xuid({xuid})/scids/{scid}/stats/{statname}/people/{all|favorites}","leaderboard_service::get_leaderboard_for_social_group","LeaderboardService::GetLeaderboardForSocialGroup","XblLeaderboardGetLeaderboardAsync"
"GET https://leaderboards.xboxlive.com/users/xuid({xuid})/scids/{scid}/stats/{statname}/people/{all|favorites}[?sort=descending|ascending&]skipToRank={skipToUser}","leaderboard_service::get_leaderboard_for_social_group_skip_to_rank","LeaderboardService::GetLeaderboardForSocialGroupSkipToRank","XblLeaderboardGetLeaderboardAsync"
"GET https://leaderboards.xboxlive.com/users/xuid({xuid})/scids/{scid}/stats/{statname}/people/{all|favorites}[?sort=descending|ascending&]skipToUser={skipToUser}","leaderboard_service::get_leaderboard_for_social_group_skip_to_xuid","LeaderboardService::GetLeaderboardForSocialGroupSkipToXuid","XblLeaderboardGetLeaderboardAsync"
"eds.xboxlive.com","catalog_service","CatalogService","N/A"
"GET https://eds.xboxlive.com/browse/?fields=all[&id={parentId}&mediaItemType={titleType}][&orderBy={sort}&desiredMediaItemTypes={desiredTypes}&maxItems={count}&skipItems={skip}]","catalog_service::browse_catalog","CatalogService::BrowseCatalog","N/A"
"GET https://eds.xboxlive.com/browse/?fields=all[&id={parentId}&mediaItemType={titleType}]&relationship={relationship}[&orderBy={sort}&desiredMediaItemTypes={desiredTypes}&maxItems={count}&skipItems={skip}]","catalog_service::browse_catalog_bundles","CatalogService::BrowseCatalogBundles","N/A"
"GET https://eds.xboxlive.com/media/{marketplaceId}/details","catalog_service::get_catalog_item_details","CatalogService::GetCatalogItemDetails","N/A"
"inventory.xboxlive.com","inventory_service","InventoryService","N/A"
"GET https://inventory.xboxlive.com/users/me/inventory","inventory_service::get_inventory_items(_for_all_users) or inventory_items_result::get_next","InventoryService::GetInventoryItems(ForAllUsers) or InventoryItemsResult::GetNext","N/A"
"GET https://inventory.xboxlive.com/users/me/inventory/{inventoryItemId}","inventory_service::get_inventory_item","InventoryService::GetInventoryItem","N/A"
"POST https://inventory.xboxlive.com/users/me/consumables/{consumableId}","inventory_service::consume_inventory_item","InventoryService::ConsumeInventoryItem","N/A"
"smartmatch.xboxlive.com","matchmaking_service","MatchmakingService","XblMatchmaking"
"POST https://smartmatch.xboxlive.com/serviceconfigs/{serviceConfigId}/hoppers/{hopperName}","matchmaking_service::create_match_ticket","MatchmakingService::CreateMatchTicket","XblMatchmakingCreateMatchTicketAsync"
"DELETE https://smartmatch.xboxlive.com/serviceconfigs/{serviceConfigId}/hoppers/{hopperName}/tickets/{ticketId}","matchmaking_service::delete_match_ticket","MatchmakingService::DeleteMatchTicket","XblMatchmakingDeleteMatchTicketAsync"
"GET https://smartmatch.xboxlive.com/serviceconfigs/{serviceConfigId}/hoppers/{hopperName}/tickets/{ticketId}","matchmaking_service::get_match_ticket_details","MatchmakingService::GetMatchTicketDetails","XblMatchmakingGetMatchTicketDetailsAsync"
"GET https://smartmatch.xboxlive.com/serviceconfigs/{serviceConfigId}/hoppers/{hopperName}/stats","matchmaking_service::get_hopper_statistics","MatchmakingService::GetHopperStatistics","XblMatchmakingGetHopperStatisticsAsync"
"sessiondirectory.xboxlive.com","multiplayer_service","MultiplayerService","XblMultiplayer"
"PUT https://sessiondirectory.xboxlive.com/serviceconfigs/{serviceConfigurationId}/sessionTemplates/{sessiontemplateName}/sessions/{sessionName}","multiplayer_service::write_session","MultiplayerService::WriteSession","XblMultiplayerWriteSessionAsync"
"PUT https://sessiondirectory.xboxlive.com/handles/{handleid}/session","multiplayer_service::write_session_by_handle","MultiplayerService::WriteSessionByHandle","XblMultiplayerWriteSessionByHandleAsync"
"GET https://sessiondirectory.xboxlive.com/serviceconfigs/{serviceConfigurationId}/sessionTemplates/{sessiontemplateName}/sessions/{sessionName}","multiplayer_service::get_current_session","MultiplayerService::GetCurrentSession","XblMultiplayerGetSessionAsync"
"GET https://sessiondirectory.xboxlive.com/handles/{handleId}/session","multiplayer_service::get_current_session_by_handle","MultiplayerService::GetCurrentSessionByHandle","XblMultiplayerGetSessionByHandleAsync"
"GET https://sessiondirectory.xboxlive.com/serviceconfigs/{scid}/sessiontemplates/{session-template-name}/sessions","multiplayer_service::get_sessions","MultiplayerService::GetSessions","XblMultiplayerQuerySessionsAsync"
"GET https://sessiondirectory.xboxlive.com/serviceconfigs/{scid}/sessions","multiplayer_service::get_sessions","MultiplayerService::GetSessions","XblMultiplayerQuerySessionsAsync"
"POST https://sessiondirectory.xboxlive.com/handles/query?include=relatedInfo,customProperties","multiplayer_service::get_activities_for_social_group or get_activities_for_users","MultiplayerService::GetActivitiesForSocialGroup or GetActivitiesForUsers","XblMultiplayerGetActivitiesForSocialGroupAsync or XblMultiplayerGetActivitiesForUsersAsync"
"POST https://sessiondirectory.xboxlive.com/handles/query?include=relatedInfo,roleInfo,customProperties","multiplayer_service::get_search_handles","MultiplayerService::GetSearchHandles","XblMultiplayerGetSearchHandlesAsync"
"DELETE https://sessiondirectory.xboxlive.com/handles/{handleId}","multiplayer_service::clear_activity or clear_search_handle","MultiplayerService::ClearActivity or ClearSearchHandle","XblMultiplayerClearActivityAsync or XblMultiplayerDeleteSearchHandleAsync"
"POST https://sessiondirectory.xboxlive.com/handles","multiplayer_service::set_activity, set_transfer_handle, send_invites or set_search_handle","MultiplayerService::SetActivity, SetTransferHandle, SendInvites or SetSearchHandle","XblMultiplayerSetActivityAsync, XblMultiplayerSetTransferHandleAsync, XblMultiplayerSendInvitesAsync, or XblMultiplayerCreateSearchHandleAsync"
"userpresence.xboxlive.com","presence_service","PresenceService","XblPresence"
"POST https://userpresence.xboxlive.com/users/xuid({xuid})/devices/current/titles/current","presence_service::set_presence","PresenceService::SetPresence","XblPresenceSetPresenceAsync"
"GET https://userpresence.xboxlive.com/users/xuid({xuid})","presence_service::get_presence","PresenceService::GetPresence","XblPresenceGetPresenceAsync"
"POST https://userpresence.xboxlive.com/users/batch","presence_service::get_presence_for_multiple_users or get_presence_for_social_group","PresenceService::GetPresenceForMultipleUsers or GetPresenceForSocialGroup","XblPresenceGetPresenceForMultipleUsersAsync or XblPresenceGetPresenceForSocialGroupAsync"
"GET https://userpresence.xboxlive.com/users/xuid({xuid})/groups/{socialGroup}","presence_service::get_presence_for_social_group","PresenceService::GetPresenceForSocialGroup","XblPresenceGetPresenceForSocialGroupAsync"
"privacy.xboxlive.com","privacy_service","PrivacyService","XblPrivacy"
"GET https://privacy.xboxlive.com/users/xuid({xuid})/people/avoid","privacy_service::get_avoid_list","PrivacyService::GetAvoidList","XblPrivacyGetAvoidListAsync"
"GET https://privacy.xboxlive.com/users/{requestorId}/permission/validate","privacy_service::check_permission_with_target_user","PrivacyService::CheckPermissionWithTargetUser","XblPrivacyCheckPermissionAsync"
"POST https://privacy.xboxlive.com/users/{requestorId}/permission/validate","privacy_service::check_multiple_permissions_with_multiple_target_users","PrivacyService::CheckMultiplePermissionsWithMultipleTargetUsers","XblPrivacyBatchCheckPermissionAsync"
"GET https://privacy.xboxlive.com/users/xuid({xuid})/people/mute","privacy_service::get_mute_list","PrivacyService::GetMuteList","XblPrivacyGetMuteListAsync"
"profile.xboxlive.com","profile_service","ProfileService","XblProfile"
"POST https://profile.xboxlive.com/users/batch/profile/settings","profile_service::get_user_profile(s)","ProfileService::GetUserProfile(s)","XblProfileGetUserProfile(s)Async"
"GET https://profile.xboxlive.com/users/{userId}/profile/settings/people/{socialGroup}","profile_service::get_user_profiles_for_social_group","ProfileService::GetUserProfilesForSocialGroup","XblProfileGetUserProfilesForSocialGroupAsync"
"social.xboxlive.com","social_service","SocialService","XblSocial"
"GET https://social.xboxlive.com/users/{ownerId}/people","xbox_social_relationship_result::get_next","XboxSocialRelationshipResult::GetNext","XblSocialRelationshipResultGetNextAsync"
"GET https://social.xboxlive.com/users/{ownerId}/people?view={view}&startIndex={startIndex}&maxItems={maxItems}","social_service::get_social_relationships","SocialService::GetSocialRelationships","XblSocialGetSocialRelationshipsAsync"
"reputation.xboxlive.com","reputation_service","ReputationService","XblSocial"
"POST https://reputation.xboxlive.com/users/xuid({xuid})/feedback","reputation_service::submit_reputation_feedback","ReputationService::SubmitReputationFeedback","XblSocialSubmitReputationFeedbackAsync"
"POST https://reputation.xboxlive.com/users/batchfeedback","reputation_service::submit_batch_reputation_feedback","ReputationService::SubmitBatchReputationFeedback","XblSocialSubmitBatchReputationFeedbackAsync"
"client-strings.xboxlive.com","string_service","StringService","XblStringVerify"
"GET https://client-strings.xboxlive.com/system/strings/validate","string_service::verify_string(s)","StringService::VerifyString(s)","XblStringVerifyString(s)Async"
"titlestorage.xboxlive.com","title_storage_service","TitleStorageService","XblTitleStorage"
"GET https://titlestorage.xboxlive.com/trustedplatform/users/xuid({xuid})/scids/{scid}","title_storage_service::get_quota","TitleStorageService::GetQuota","XblTitleStorageGetQuotaAsync"
"GET https://titlestorage.xboxlive.com/json/users/xuid({xuid})/scids/{scid}","title_storage_service::get_quota","TitleStorageService::GetQuota","XblTitleStorageGetQuotaAsync"
"GET https://titlestorage.xboxlive.com/global/scids/{scid}","title_storage_service::get_quota","TitleStorageService::GetQuota","XblTitleStorageGetQuotaAsync"
"GET https://titlestorage.xboxlive.com/sessions/{sessionId}/scids/{scid}","title_storage_service::get_quota_for_session_storage","TitleStorageService::GetQuotaForSessionStorage","XblTitleStorageGetQuotaAsync"
"GET https://titlestorage.xboxlive.com/trustedplatform/users/xuid({xuid})/scids/{scid}/data/{path}?maxItems={maxItems}[&skipItems={skipItems}]","title_storage_service::get_blob_metadata","TitleStorageService::GetBlobMetadata","XblTitleStorageGetBlobMetadataAsync"
"GET https://titlestorage.xboxlive.com/json/users/xuid({xuid})/scids/{scid}/data/{path}?maxItems={maxItems}[skipItems={skipItems}]","title_storage_service::get_blob_metadata","TitleStorageService::GetBlobMetadata","XblTitleStorageGetBlobMetadataAsync"
"GET https://titlestorage.xboxlive.com/global/scids/{scid}/data/{path}?maxItems={maxItems}[skipItems={skipItems}]","title_storage_service::get_blob_metadata","TitleStorageService::GetBlobMetadata","XblTitleStorageGetBlobMetadataAsync"
"GET https://titlestorage.xboxlive.com/sessions/{sessionId}/scids/{scid}/data/{path}?maxItems={maxItems}[skipItems={skipItems}]","title_storage_service::get_blob_metadata_for_session_storage","TitleStorageService::GetBlobMetadataForSessionStorage","XblTitleStorageGetBlobMetadataAsync"
"GET https://titlestorage.xboxlive.com/trustedplatform/users/xuid({xuid})/scids/{scid}/data/{path},{type}","title_storage_service::download_blob","TitleStorageService::DownloadBlob","XblTitleStorageDownloadBlobAsync"
"GET https://titlestorage.xboxlive.com/json/users/xuid({xuid})/scids/{scid}/data/{path},{type}","title_storage_service::download_blob","TitleStorageService::DownloadBlob","XblTitleStorageDownloadBlobAsync"
"GET https://titlestorage.xboxlive.com/global/scids/{scid}/data/{path},{type}","title_storage_service::download_blob","TitleStorageService::DownloadBlob","XblTitleStorageDownloadBlobAsync"
"GET https://titlestorage.xboxlive.com/sessions/{sessionId}/scids/{scid}/data/{path},{type}","title_storage_service::download_blob","TitleStorageService::DownloadBlob","XblTitleStorageDownloadBlobAsync"
"PUT https://titlestorage.xboxlive.com/json/users/xuid({xuid})/scids/{scid}/data/{path},{type}","title_storage_service::upload_blob or delete_blob","TitleStorageService::UploadBlob or DeleteBlob","XblTitleStorageUploadBlobAsync or XblTitleStorageDeleteBlobAsync"
"PUT https://titlestorage.xboxlive.com/global/scids/{scid}/data/{path},{type}","title_storage_service::upload_blob or delete_blob","TitleStorageService::UploadBlob or DeleteBlob","XblTitleStorageUploadBlobAsync or XblTitleStorageDeleteBlobAsync"
"PUT https://titlestorage.xboxlive.com/sessions/{sessionId}/scids/{scid}/data/{path},{type}","title_storage_service::upload_blob or delete_blob","TitleStorageService::UploadBlob or DeleteBlob","XblTitleStorageUploadBlobAsync or XblTitleStorageDeleteBlobAsync"
"userstats.xboxlive.com","user_statistics_service","UserStatisticsService","XblUserStatistics"
"GET https://userstats.xboxlive.com/users/xuid({xuid})/scids/{scid}/stats/{statname1}","user_statistics_service::get_single_user_statistics","UserStatisticsService::GetSingleUserStatistics","XblUserStatisticsGetSingleUserStatisticAsync"
"POST https://userstats.xboxlive.com/batch","user_statistics_service::get_multiple_user_statistics(_for_multiple_service_configurations)","UserStatisticsService::GetMultipleUserStatistics(ForMultipleServiceConfigurations)","XblUserStatisticsGetMultipleUserStatistics(ForMultipleServiceConfigurations)Async"
"inGameEvents","events_service","EventsService","XblEvents"
"EVENT inGameEvents","events_service::write_in_game_event()","EventsService::WriteInGameEvent()","XblEventsWriteInGameEvent"
"tournamentshub.xboxlive.com","tournament_service","TournamentService","N/A"
"GET https://tournamentshub.xboxlive.com/tournaments","tournament_service::get_tournaments","TournamentService::GetTournamentsAsync","N/A"
"GET https://tournamentshub.xboxlive.com/tournaments/{organizer}/{id}","tournament_service::get_tournament_details","TournamentService::GetTournamentDetailsAsync","N/A"
"GET https://tournamentshub.xboxlive.com/tournaments/{organizer}/{id}/teams","tournament_service::get_teams","TournamentService::GetTeamsAsync","N/A"
"GET https://tournamentshub.xboxlive.com/tournaments/{organizer}/{id}/teams/{teamId}","tournament_service::get_team_details","TournamentService::GetTeamDetailsAsync","N/A"
"statswrite.xboxlive.com","XblTitleManagedStats*","N/A","XblTitleManagedStats"
"POST https://statswrite.xboxlive.com/stats/users/{xuid}/scids/{scid}/","XblTitleManagedStatsWriteAsync","N/A","XblTitleManagedStatsWriteAsync"
"PATCH https://statswrite.xboxlive.com/stats/users/{xuid}/scids/{scid}/","XblTitleManagedStatsUpdateStatsAsync","N/A","XblTitleManagedStatsUpdateStatsAsync"
"statsread.xboxlive.com","N/A","N/A","N/A"
"GET https://statsread.xboxlive.com/stats/users/{xuid}/scids/{scid}/","N/A","N/A","N/A"